Player,Date,Game_ID,Season,Team,Opponent,Is_Home,Position,TOI,TOI%,GA,SA,FA,xGA,Sv%,FSv%,xFSv%,dFSv%,GSAx
Adin Hill,10/10/2023,2023020003,20232024,VGK,SEA,1,G,60,100,1.01,31.57,46.07,4.41,96.79,97.8,90.42,7.39,3.4
Adin Hill,10/14/2023,2023020031,20232024,VGK,ANA,1,G,59.05,98.42,1.01,22.45,34.12,2.31,95.49,97.03,93.24,3.79,1.29
Adin Hill,10/17/2023,2023020048,20232024,VGK,DAL,1,G,64.23,98.82,2.12,27.55,39.56,2.78,92.3,94.64,92.97,1.66,0.66
Adin Hill,10/21/2023,2023020071,20232024,VGK,CHI,0,G,59.45,99.08,2.81,22.24,31.28,1.64,87.37,91.02,94.75,-3.73,-1.17
Adin Hill,10/27/2023,2023020111,20232024,VGK,CHI,1,G,62.83,100,4.18,24.54,40.82,2.3,82.99,89.77,94.37,-4.6,-1.88
Adin Hill,10/30/2023,2023020138,20232024,VGK,MTL,1,G,64.33,98.97,2.02,38.99,55.32,3.46,94.82,96.35,93.75,2.6,1.44
Adin Hill,11/4/2023,2023020173,20232024,VGK,COL,1,G,60,100,0,39.63,54.88,3.27,100,100,94.04,5.96,3.27
Adin Hill,11/8/2023,2023020192,20232024,VGK,L.A,1,G,58.38,97.31,3.43,35.36,54.8,3.73,90.31,93.75,93.18,0.56,0.31
Adin Hill,11/10/2023,2023020209,20232024,VGK,S.J,1,G,60,100,0,18.68,28.15,1.27,100,100,95.5,4.5,1.27
Adin Hill,11/16/2023,2023020244,20232024,VGK,MTL,0,G,60,100,4.9,27.88,36.96,2.88,82.43,86.74,92.2,-5.45,-2.02
Adin Hill,11/19/2023,2023020269,20232024,VGK,PIT,0,G,59.9,99.83,1.93,32.53,50.35,3.43,94.06,96.16,93.19,2.98,1.5
Adin Hill,11/22/2023,2023020289,20232024,VGK,DAL,0,G,61.95,100,0.94,29.83,43.63,2.58,96.86,97.85,94.08,3.77,1.65
Adin Hill,11/27/2023,2023020325,20232024,VGK,CGY,0,G,64.58,99.49,1.87,31.6,54.17,3.54,94.09,96.55,93.47,3.08,1.67
Adin Hill,11/30/2023,2023020353,20232024,VGK,VAN,0,G,40,66.67,0,14.18,24.64,1.7,100,100,93.11,6.89,1.7
Adin Hill,12/17/2023,2023020478,20232024,VGK,OTT,1,G,6.42,10.69,1.01,2.89,4.83,0.41,65.19,79.15,91.49,-12.33,-0.6
Adin Hill,1/23/2024,2023020733,20232024,VGK,NYI,0,G,60,100,1.9,38.2,58.13,4.43,95.03,96.73,92.38,4.35,2.53
Adin Hill,1/26/2024,2023020755,20232024,VGK,NYR,0,G,60,100,1.97,34.81,50.04,3.31,94.34,96.06,93.39,2.67,1.34
Adin Hill,2/6/2024,2023020790,20232024,VGK,EDM,1,G,60,100,1.08,31.98,57.33,4.33,96.63,98.12,92.44,5.68,3.26
Adin Hill,2/8/2024,2023020800,20232024,VGK,ARI,0,G,60,100,1.88,19.68,43.34,1.96,90.47,95.67,95.48,0.19,0.08
Adin Hill,2/12/2024,2023020822,20232024,VGK,MIN,1,G,57.72,96.19,4.28,29.55,45.39,4.14,85.5,90.56,90.88,-0.32,-0.14
Adin Hill,2/17/2024,2023020862,20232024,VGK,CAR,1,G,58.15,96.92,3.16,29.28,44.59,2.86,89.21,92.91,93.59,-0.67,-0.3
Adin Hill,2/20/2024,2023020882,20232024,VGK,NSH,1,G,58.8,98,4.26,43.99,65.48,3.86,90.31,93.49,94.1,-0.61,-0.4
Adin Hill,2/22/2024,2023020898,20232024,VGK,TOR,1,G,14.33,23.89,3.2,21.51,27.05,2.5,85.11,88.16,90.75,-2.59,-0.7
