Player,Season,Team,GP,TOI,GA,SA,FA,xGA,Sv%,FSv%,xFSv%,dFSv%,GSAA,GSAx
Adin Hill,23-24,VGK,35,1968.82,89.98,982.57,1465.78,97.77,90.84,93.86,93.33,0.53,4.96,7.79
Alex Lyon,23-24,DET,44,2498.85,127.17,1333.34,1923.2,128.18,90.46,93.39,93.34,0.05,1.66,1.01
Alex Nedeljkovic,23-24,PIT,38,2060.47,101,1023.04,1515.45,101.57,90.13,93.34,93.3,0.04,-2.14,0.57
Alexandar Georgiev,23-24,COL,63,3637.95,183.71,1772.51,2517.89,183.5,89.64,92.7,92.71,-0.01,-12.45,-0.21
Andrei Vasilevskiy,23-24,T.B,52,3062.87,148.77,1469.07,2065.07,147.53,89.87,92.8,92.86,-0.06,-6.82,-1.24
Arvid Soderblom,23-24,CHI,32,1744.33,114.96,970.77,1384.55,101.97,88.16,91.7,92.64,-0.94,-21.16,-12.99
Cam Talbot,23-24,L.A,54,3116.12,129.92,1470.54,2108.86,144.93,91.17,93.84,93.13,0.71,12.17,15.01
Charlie Lindgren,23-24,WSH,50,2852.38,128.47,1439.56,2123.73,147.05,91.08,93.95,93.08,0.87,10.62,18.58
Connor Hellebuyck,23-24,WPG,60,3567.33,142.28,1776.27,2540.05,181.63,91.99,94.4,92.85,1.55,29.35,39.35
Connor Ingram,23-24,ARI,50,2802.93,135.75,1460.19,2149.63,153.43,90.7,93.68,92.86,0.82,5.34,17.68
Darcy Kuemper,23-24,WSH,33,1866.53,103.2,956.73,1410.64,101.47,89.21,92.68,92.81,-0.12,-10.76,-1.73
Elvis Merzlikins,23-24,CBJ,41,2258.67,129.29,1262.47,1786.66,132.77,89.76,92.76,92.57,0.19,-7.3,3.48
Filip Gustavsson,23-24,MIN,45,2526.55,130,1286.54,1840.65,122.49,89.9,92.94,93.35,-0.41,-5.69,-7.51
Igor Shesterkin,23-24,NYR,55,3277.1,141.78,1605.74,2304.57,159.14,91.17,93.85,93.09,0.75,13.37,17.36
Ilya Samsonov,23-24,TOR,40,2300.97,119.99,1085.36,1653.28,114.24,88.94,92.74,93.09,-0.35,-15.12,-5.75
Ilya Sorokin,23-24,NYI,56,3325.98,165.34,1817.53,2570.84,173.79,90.9,93.57,93.24,0.33,10.28,8.45
Jacob Markstrom,23-24,CGY,48,2831.12,132.47,1393.39,2026.44,161.4,90.49,93.46,92.04,1.43,2.17,28.93
Jake Oettinger,23-24,DAL,54,3084.58,139.85,1452.37,2112.8,141.31,90.37,93.38,93.31,0.07,0.49,1.46
Jeremy Swayman,23-24,BOS,44,2565.78,108.13,1267.1,1864.36,130.92,91.47,94.2,92.98,1.22,14.3,22.79
Joey Daccord,23-24,SEA,50,2832.78,116.24,1370.73,2057.44,132.14,91.52,94.35,93.58,0.77,16.21,15.9
John Gibson,23-24,ANA,46,2561.48,153.18,1399.85,2050.44,154.2,89.06,92.53,92.48,0.05,-17.92,1.02
Joonas Korpisalo,23-24,OTT,55,3080.47,167.85,1536.21,2192.54,154.25,89.07,92.34,92.96,-0.62,-19.42,-13.6
Jordan Binnington,23-24,STL,57,3291.48,156.11,1795.92,2588.88,185.85,91.31,93.97,92.82,1.15,17.42,29.74
Juuse Saros,23-24,NSH,64,3624.63,174.47,1842.14,2554.55,181.98,90.53,93.17,92.88,0.29,3.53,7.51
Kaapo Kahkonen,23-24,S.J,31,1651.43,106.46,1027.94,1514.89,103.48,89.64,92.97,93.17,-0.2,-7.13,-2.98
Karel Vejmelka,23-24,ARI,38,2040.13,115.39,1115.87,1595.79,114.51,89.66,92.77,92.82,-0.06,-7.57,-0.88
Linus Ullmark,23-24,BOS,41,2400.18,101.88,1192.77,1742.59,123.5,91.46,94.15,92.91,1.24,13.37,21.62
Logan Thompson,23-24,VGK,46,2645.47,117.51,1288.88,1852.3,124.36,90.88,93.66,93.29,0.37,7.03,6.85
Lukas Dostal,23-24,ANA,44,2322.82,128.93,1323.42,1882.55,131.72,90.26,93.15,93,0.15,-1.05,2.79
Mackenzie Blackwood,23-24,S.J,44,2437.13,142.51,1427.88,2059.09,153.58,90.02,93.08,92.54,0.54,-4.54,11.07
Marc-Andre Fleury,23-24,MIN,40,2232.67,112.15,1072.31,1567.66,102.94,89.54,92.85,93.43,-0.59,-8.54,-9.21
Petr Mrazek,23-24,CHI,56,3152.67,160.27,1777.22,2514.24,174.66,90.98,93.63,93.05,0.57,11.45,14.39
Philipp Grubauer,23-24,SEA,36,1996.6,95.59,956.93,1391.14,95.55,90.01,93.13,93.13,0,-3.13,-0.04
Pyotr Kochetkov,23-24,CAR,42,2371.48,90.85,1008.02,1388.21,98.12,90.99,93.46,92.93,0.52,6.55,7.27
Sam Montembeault,23-24,MTL,41,2428.7,128.12,1316.72,1906.69,146.51,90.27,93.28,92.32,0.96,-0.9,18.39
Samuel Ersson,23-24,PHI,51,2809.47,133.05,1203.11,1802.22,131.15,88.94,92.62,92.72,-0.11,-16.8,-1.9
Sergei Bobrovsky,23-24,FLA,58,3414.23,135.86,1565.38,2208.91,151.62,91.32,93.85,93.14,0.71,15.4,15.76
Stuart Skinner,23-24,EDM,59,3361.27,147.56,1554.63,2211.26,160.63,90.51,93.33,92.74,0.59,2.65,13.07
Thatcher Demko,23-24,VAN,51,3015.8,122.69,1461.27,2049.49,148.52,91.6,94.01,92.75,1.26,18.51,25.83
Tristan Jarry,23-24,PIT,51,2740.63,134.22,1386.82,2080.66,146.59,90.32,93.55,92.95,0.59,-0.22,12.37
Ukko-Pekka Luukkonen,23-24,BUF,54,3081.23,131.43,1475.09,2180.1,153.89,91.09,93.97,92.94,1.03,11.1,22.46
